股票代號,名稱,成交量,成交金額,開盤價,最高價,最低價,收盤價,漲跌價,成交筆數,RSI,KD,MACD,SMA,Momentum,籌碼集中度
00783,富邦中証500,388089,0,0.00,0.00,0.00,28.97,0.00,0,38.81,2.90,23.97,19.48,29.55,388.09
00830,國泰費城半導體,28969871,0,0.00,0.00,0.00,55.00,0.00,0,2896.99,5.50,50.00,32.50,56.10,28969.87
00850,元大臺灣ESG永續,626160,0,0.00,0.00,0.00,60.50,0.00,0,62.62,6.05,55.50,35.25,61.71,626.16
00851,台新全球AI,19479,0,0.00,0.00,0.00,58.10,0.00,0,1.95,5.81,53.10,34.05,59.26,19.48
00852L,國泰美國道瓊正2,395642,0,0.00,0.00,0.00,31.32,0.00,0,39.56,3.13,26.32,20.66,31.95,395.64
00861,元大全球未來通訊,58428,0,0.00,0.00,0.00,59.20,0.00,0,5.84,5.92,54.20,34.60,60.38,58.43
00865B,國泰US短期公債,4363385,0,0.00,0.00,0.00,47.17,0.00,0,436.34,4.72,42.17,28.59,48.11,4363.39
00875,國泰網路資安,278479,0,0.00,0.00,0.00,37.86,0.00,0,27.85,3.79,32.86,23.93,38.62,278.48
00876,元大全球5G,156910,0,0.00,0.00,0.00,57.75,0.00,0,15.69,5.78,52.75,33.88,58.91,156.91
00878,國泰永續高股息,95639031,0,0.00,0.00,0.00,23.02,0.00,0,9563.90,2.30,18.02,16.51,23.48,95639.03
00881,國泰台灣科技龍頭,21757247,0,0.00,0.00,0.00,34.00,0.00,0,2175.72,3.40,29.00,22.00,34.68,21757.25
00882,中信中國高股息,7173393,0,0.00,0.00,0.00,15.12,0.00,0,717.34,1.51,10.12,12.56,15.42,7173.39
00885,富邦越南,8159838,0,0.00,0.00,0.00,18.59,0.00,0,815.98,1.86,13.59,14.29,18.96,8159.84
00891,中信關鍵半導體,16016858,0,0.00,0.00,0.00,23.45,0.00,0,1601.69,2.34,18.45,16.73,23.92,16016.86
00892,富邦台灣半導體,1147484,0,0.00,0.00,0.00,25.03,0.00,0,114.75,2.50,20.03,17.52,25.53,1147.48
00893,國泰智能電動車,1729432,0,0.00,0.00,0.00,34.69,0.00,0,172.94,3.47,29.69,22.34,35.38,1729.43
00894,中信小資高價30,2192989,0,0.00,0.00,0.00,30.35,0.00,0,219.30,3.04,25.35,20.18,30.96,2192.99
00895,富邦未來車,773462,0,0.00,0.00,0.00,41.22,0.00,0,77.35,4.12,36.22,25.61,42.04,773.46
00896,中信綠能及電動車,2918162,0,0.00,0.00,0.00,21.00,0.00,0,291.82,2.10,16.00,15.50,21.42,2918.16
00897,富邦基因免疫生技,1342729,0,0.00,0.00,0.00,9.77,0.00,0,134.27,0.98,4.77,9.88,9.97,1342.73
00898,國泰基因免疫革命,1141443,0,0.00,0.00,0.00,8.37,0.00,0,114.14,0.84,3.37,9.18,8.54,1141.44
00899,FT潔淨能源,189037,0,0.00,0.00,0.00,22.41,0.00,0,18.90,2.24,17.41,16.20,22.86,189.04
00900,富邦特選高股息30,15622230,0,0.00,0.00,0.00,14.42,0.00,0,1562.22,1.44,9.42,12.21,14.71,15622.23
00901,永豐智能車供應鏈,748517,0,0.00,0.00,0.00,28.20,0.00,0,74.85,2.82,23.20,19.10,28.76,748.52
00902,中信電池及儲能,5348124,0,0.00,0.00,0.00,14.36,0.00,0,534.81,1.44,9.36,12.18,14.65,5348.12
00903,富邦元宇宙,252843,0,0.00,0.00,0.00,17.63,0.00,0,25.28,1.76,12.63,13.81,17.98,252.84
00904,新光臺灣半導體30,5970668,0,0.00,0.00,0.00,27.00,0.00,0,597.07,2.70,22.00,18.50,27.54,5970.67
00905,FT臺灣Smart,969523,0,0.00,0.00,0.00,18.74,0.00,0,96.95,1.87,13.74,14.37,19.11,969.52
00907,永豐優息存股,1006791,0,0.00,0.00,0.00,15.51,0.00,0,100.68,1.55,10.51,12.75,15.82,1006.79
00908,富邦入息REITs+,72753,0,0.00,0.00,0.00,14.14,0.00,0,7.28,1.41,9.14,12.07,14.42,72.75
00909,國泰數位支付服務,2811997,0,0.00,0.00,0.00,43.01,0.00,0,281.20,4.30,38.01,26.50,43.87,2812.00
00910,第一金太空衛星,3614981,0,0.00,0.00,0.00,56.40,0.00,0,361.50,5.64,51.40,33.20,57.53,3614.98
00911,兆豐洲際半導體,613880,0,0.00,0.00,0.00,36.77,0.00,0,61.39,3.68,31.77,23.39,37.51,613.88
00912,中信臺灣智慧50,1281247,0,0.00,0.00,0.00,22.79,0.00,0,128.12,2.28,17.79,16.39,23.25,1281.25
00913,兆豐台灣晶圓製造,414964,0,0.00,0.00,0.00,30.01,0.00,0,41.50,3.00,25.01,20.01,30.61,414.96
00915,凱基優選高股息30,9519664,0,0.00,0.00,0.00,23.83,0.00,0,951.97,2.38,18.83,16.91,24.31,9519.66
00916,國泰全球品牌50,166843,0,0.00,0.00,0.00,26.70,0.00,0,16.68,2.67,21.70,18.35,27.23,166.84
00917,中信特選金融,4449949,0,0.00,0.00,0.00,21.80,0.00,0,444.99,2.18,16.80,15.90,22.24,4449.95
00918,大華優利高填息30,16760325,0,0.00,0.00,0.00,23.18,0.00,0,1676.03,2.32,18.18,16.59,23.64,16760.33
00919,群益台灣精選高息,82254319,0,0.00,0.00,0.00,23.65,0.00,0,8225.43,2.36,18.65,16.82,24.12,82254.32
00920,富邦ESG綠色電力,489524,0,0.00,0.00,0.00,19.77,0.00,0,48.95,1.98,14.77,14.88,20.17,489.52
00921,兆豐龍頭等權重,1354287,0,0.00,0.00,0.00,18.33,0.00,0,135.43,1.83,13.33,14.16,18.70,1354.29
00922,國泰台灣領袖50,11710723,0,0.00,0.00,0.00,28.39,0.00,0,1171.07,2.84,23.39,19.20,28.96,11710.72
00923,群益台ESG低碳50,2535800,0,0.00,0.00,0.00,28.80,0.00,0,253.58,2.88,23.80,19.40,29.38,2535.80
00924,復華S&P500成長,3532674,0,0.00,0.00,0.00,29.03,0.00,0,353.27,2.90,24.03,19.52,29.61,3532.67
00926,凱基全球菁英55,4731368,0,0.00,0.00,0.00,23.53,0.00,0,473.14,2.35,18.53,16.77,24.00,4731.37
00927,群益半導體收益,23751009,0,0.00,0.00,0.00,24.93,0.00,0,2375.10,2.49,19.93,17.46,25.43,23751.01
